avg_finish,champ,conf,g,l,name,perc,poff_g,poff_l,poff_perc,poff_w,sb,t,w,yrs
4.5,0,0,29,24,Rod Dowhower,0.172,0,0,,0,0,0,5,2
4.2,0,0,53,17,Paddy Driscoll,0.646,1,1,0.0,0,0,5,31,5
7.0,0,0,8,7,Walt Driskill,0.125,0,0,,0,0,0,1,1
4.0,0,0,2,0,Chuck Drulis,1.0,0,0,,0,0,0,2,1
1.8,1,1,208,69,Tony Dungy,0.668,19,10,0.474,9,1,0,139,13
4.0,0,0,14,9,Bill Edwards,0.308,0,0,,0,0,1,4,2
7.0,0,0,31,11,Cap Edwards,0.542,0,0,,0,0,7,13,3
2.9,0,0,128,74,Herman Edwards,0.422,6,4,0.333,2,0,0,54,8
3.0,0,0,35,18,Turk Edwards,0.471,0,0,,0,0,1,16,3
3.5,0,0,16,10,Eddie Erdelatz,0.375,0,0,,0,0,0,6,2
2.5,0,0,49,28,Ron Erhardt,0.429,0,0,,0,0,0,21,4
3.5,0,0,96,56,Dennis Erickson,0.417,0,0,,0,0,0,40,6
12.0,0,0,13,8,Hal Erickson,0.385,0,0,,0,0,0,5,1
5.0,0,0,12,10,Charley Ewart,0.091,0,0,,0,0,1,1,1
3.0,3,1,266,129,Weeb Ewbank,0.502,5,1,0.8,4,1,7,130,20
2.8,0,0,85,39,Chuck Fairbanks,0.541,2,2,0.0,0,0,0,46,6
8.3,0,0,25,10,Guil Falcon,0.5,0,0,,0,0,5,10,3
2.4,0,1,112,53,Jim Fassel,0.522,5,3,0.4,2,0,1,58,7
3.3,0,0,32,22,Jack Faulkner,0.29,0,0,,0,0,1,9,3
10.5,0,0,8,5,Frank Fausch,0.375,0,0,,0,0,0,3,2
3.5,0,0,49,34,Tom Fears,0.277,0,0,,0,0,2,13,4
4.0,0,0,17,15,Marty Feldman,0.118,0,0,,0,0,0,2,2
4.0,,,7,4,Perry Fewell,0.429,0,0,,0,,0,3,1
3.5,0,0,28,20,Frank Filchock,0.259,0,0,,0,0,1,7,2
11.0,0,0,6,4,Jack Fish,0.2,0,0,,0,0,1,1,1
2.8,,1,326,156,Jeff Fisher,0.52,11,6,0.455,5,,1,169,21
1.9,2,0,122,37,Ray Flaherty,0.684,6,4,0.333,2,0,5,80,11
3.3,2,2,184,87,Tom Flores,0.527,11,3,0.727,8,2,0,97,12
4.0,,,12,4,Bob Folwell,0.667,0,0,,0,,0,8,1
3.0,0,0,133,67,Wayne Fontes,0.496,5,4,0.2,1,0,0,66,9
8.5,0,0,16,6,Jack Forsyth,0.571,0,0,,0,0,2,8,2
2.3,0,0,32,17,Rick Forzano,0.469,0,0,,0,0,0,15,3
2.1,0,2,224,99,John Fox,0.558,15,7,0.533,8,0,0,125,14
3.5,,,54,32,Leslie Frazier,0.398,1,1,0.0,0,,1,21,4
4.0,0,0,14,9,Benny Friedman,0.357,0,0,,0,0,0,5,2
3.0,0,0,80,46,Chan Gailey,0.425,2,2,0.0,0,0,0,34,5
5.0,0,0,31,22,Frank Gansz,0.274,0,0,,0,0,1,8,2
11.0,0,0,6,1,Budge Garrett,0.667,0,0,,0,0,3,2,1
2.7,,,88,43,Jason Garrett,0.511,2,1,0.5,1,,0,45,6
4.0,0,0,11,8,Mike Getto,0.273,0,0,,0,0,0,3,1
2.4,3,4,248,94,Joe Gibbs,0.621,24,7,0.708,17,3,0,154,16
4.0,0,0,42,30,Abe Gibron,0.274,0,0,,0,0,1,11,3
9.5,0,0,14,10,George Gibson,0.231,0,0,,0,0,1,3,1
5.0,0,0,22,16,Kevin Gilbride,0.273,0,0,,0,0,0,6,2
9.0,0,0,6,5,Fred Gillies,0.167,0,0,,0,0,0,1,1
2.6,1,0,228,99,Sid Gillman,0.552,6,5,0.167,1,0,7,122,18
11.0,0,0,7,5,Hank Gillo,0.286,0,0,,0,0,0,2,1
6.0,0,0,28,16,Harry Gilmer,0.385,0,0,,0,0,2,10,2
3.0,0,0,129,69,Jerry Glanville,0.465,7,4,0.429,3,0,0,60,9
10.0,0,0,12,5,Archie Golembeski,0.545,0,0,,0,0,1,6,1
3.7,0,0,42,22,Otto Graham,0.436,0,0,,0,0,3,17,3
1.9,0,4,259,96,Bud Grant,0.621,22,12,0.455,10,0,5,158,18
2.5,0,0,207,94,Dennis Green,0.546,12,8,0.333,4,0,0,113,13
2.8,0,1,161,85,Forrest Gregg,0.469,4,2,0.5,2,0,1,75,11
7.0,0,0,14,6,Hal Griffen,0.455,0,0,,0,0,3,5,1
16.0,0,0,7,6,Tex Grigg,0.0,0,0,,0,0,1,0,1
3.0,,,16,7,Al Groh,0.563,0,0,,0,,0,9,1
2.5,,,32,19,Jay Gruden,0.406,0,0,,0,,0,13,2
2.3,1,1,176,81,Jon Gruden,0.54,9,4,0.556,5,1,0,95,11
7.0,0,0,4,3,Hinkey Haines,0.25,0,0,,0,0,0,1,1
2.7,6,0,497,148,George Halas,0.682,9,3,0.667,6,0,31,318,40
3.0,0,0,45,26,Todd Haley,0.422,1,1,0.0,0,0,0,19,3
4.6,0,0,38,34,Phil Handler,0.105,0,0,,0,0,0,4,5
4.0,0,0,32,18,Ray Handley,0.438,0,0,,0,0,0,14,2
3.9,0,0,93,53,Jim Hanifan,0.425,1,1,0.0,0,0,1,39,7
16.0,0,0,5,4,Bo Hanley,0.0,0,0,,0,0,1,0,1
4.0,0,0,3,1,Dick Hanley,0.5,0,0,,0,0,1,1,1
8.0,0,0,12,7,Hal Hanson,0.222,0,0,,0,0,3,2,1
1.8,,1,64,19,Jim Harbaugh,0.695,8,3,0.625,5,,1,44,4
2.1,1,1,128,51,John Harbaugh,0.602,15,5,0.667,10,1,0,77,8
2.7,0,0,108,61,Jim Haslett,0.435,2,1,0.5,1,0,0,47,7
5.0,0,0,31,26,Norb Hecker,0.133,0,0,,0,0,1,4,3
4.0,0,0,8,7,Ernie Hefferle,0.125,0,0,,0,0,0,1,1
12.0,0,0,3,2,Jack Hegarty,0.333,0,0,,0,0,0,1,1
3.0,0,0,3,1,Mel Hein,0.667,0,0,,0,0,0,2,1
19.0,0,0,7,6,Jack Heldt,0.143,0,0,,0,0,0,1,1
3.0,0,0,11,5,Gus Henderson,0.545,0,0,,0,0,0,6,1
16.0,0,0,5,5,Dutch Hendrian,0.0,0,0,,0,0,0,0,1
4.1,0,0,112,73,Dan Henning,0.344,0,0,,0,0,1,38,7
14.0,0,0,23,17,Pete Henry,0.15,0,0,,0,0,3,3,2
13.3,0,0,18,12,Wally Hess,0.2,0,0,,0,0,3,3,3
4.4,0,0,55,27,Red Hickey,0.5,0,0,,0,0,1,27,5
13.0,0,0,5,3,Max Hicks,0.25,0,0,,0,0,1,1,1
18.0,0,0,2,2,Austin Higgins,0.0,0,0,,0,0,0,0,1
4.0,0,0,28,18,Bob Hollway,0.315,0,0,,0,0,2,8,2
1.8,1,3,272,111,Mike Holmgren,0.592,24,11,0.542,13,1,0,161,17
2.8,0,0,108,47,Mike Holovak,0.525,2,1,0.5,1,0,9,52,9
4.0,0,0,13,10,Lou Holtz,0.231,0,0,,0,0,0,3,1
7.0,0,0,22,8,Arnie Horween,0.619,0,0,,0,0,1,13,2
2.0,1,,84,27,Jim Lee Howell,0.663,4,2,0.5,2,,4,53,7
3.0,0,0,24,13,Tommy Hudspeth,0.458,0,0,,0,0,0,11,2
14.0,0,0,1,1,Ken Huffine,0.0,0,0,,0,0,0,0,1
3.0,0,0,14,9,Ed Hughes,0.308,0,0,,0,0,1,4,1
6.0,0,0,56,15,Tommy Hughitt,0.694,0,0,,0,0,7,34,5
4.0,0,0,1,1,Hal Hunter,0.0,0,0,,0,0,0,0,1
6.0,0,0,10,3,Tut Imlay,0.667,0,0,,0,0,1,6,1
3.8,0,0,96,60,Lindy Infante,0.375,1,1,0.0,0,0,0,36,6
4.5,0,0,34,23,Cecil Isbell,0.303,1,1,0.0,0,0,1,10,4
3.8,0,0,76,42,Pop Ivy,0.432,1,1,0.0,0,0,2,32,6
3.0,,,16,8,Hue Jackson,0.5,0,0,,0,,0,8,1
3.3,0,0,142,82,Dick Jauron,0.423,1,1,0.0,0,0,0,60,10
11.0,0,0,10,9,Herb Joesting,0.1,0,0,,0,0,0,1,1
2.7,0,0,33,15,Bill Johnson,0.545,0,0,,0,0,0,18,3
5.0,0,0,26,23,Harvey Johnson,0.08,0,0,,0,0,1,2,2
2.7,2,2,144,64,Jimmy Johnson,0.556,13,4,0.692,9,2,0,80,9
2.0,1,0,36,11,Luke Johnsos,0.676,2,1,0.5,1,0,2,23,4
7.0,0,0,12,10,Al Jolley,0.091,0,0,,0,0,1,1,2
3.5,0,0,58,36,June Jones,0.379,1,1,0.0,0,0,0,22,4
2.3,1,0,41,10,Ralph Jones,0.706,0,0,,0,0,7,24,3
5.0,0,0,8,8,Bull Karcis,0.0,0,0,,0,0,0,0,1
1.7,,,47,21,Chip Kelly,0.553,1,1,0.0,0,,0,26,3
14.0,0,0,13,7,Jim Kendrick,0.364,0,0,,0,0,2,4,2
13.0,0,0,10,7,Jack Keogh,0.3,0,0,,0,0,0,3,1
4.0,0,0,25,15,Ed Khayat,0.354,0,0,,0,0,2,8,2
4.1,0,0,90,55,Walt Kiesling,0.353,0,0,,0,0,5,30,9
3.5,,,20,15,Lane Kiffin,0.25,0,0,,0,,0,5,2
2.6,0,0,334,147,Chuck Knox,0.558,18,11,0.389,7,0,1,186,22
4.0,0,0,31,22,Herb Kopf,0.241,0,0,,0,0,2,7,3
15.0,0,0,9,6,Walt Koppisch,0.143,0,0,,0,0,2,1,1
3.7,0,0,96,56,Rich Kotite,0.417,2,1,0.5,1,0,0,40,6
14.0,0,0,7,4,Ollie Kraehe,0.2,0,0,,0,0,2,1,1
3.0,,,6,4,Aaron Kromer,0.333,0,0,,0,,0,2,1
5.0,0,0,5,5,Ed Kubale,0.0,0,0,,0,0,0,0,1
2.6,,,141,68,Gary Kubiak,0.518,4,2,0.5,2,,0,73,9
3.5,0,0,142,81,Joe Kuharich,0.417,0,0,,0,0,3,58,11
4.0,0,0,5,5,Hank Kuhlmann,0.0,0,0,,0,0,0,0,1
4.3,0,0,40,28,Frank Kush,0.288,0,0,,0,0,1,11,3
11.0,0,0,13,7,Jim Laird,0.417,0,0,,0,0,1,5,1
3.2,6,0,380,132,Curly Lambeau,0.631,5,2,0.6,3,0,22,226,33
2.4,2,5,418,162,Tom Landry,0.607,36,16,0.556,20,2,6,250,29
5.0,0,0,45,33,Dick LeBeau,0.267,0,0,,0,0,0,12,3
3.0,1,0,135,64,Wally Lemm,0.5,3,2,0.333,1,0,7,64,10
5.0,0,0,10,8,Jim Leonard,0.2,0,0,,0,0,0,2,1
2.7,0,4,255,112,Marv Levy,0.561,19,8,0.579,11,0,0,143,17
4.0,0,0,8,4,Art Lewis,0.5,0,0,,0,0,0,4,1
2.2,0,0,208,94,Marvin Lewis,0.543,6,6,0.0,0,0,2,112,13
3.3,,,36,25,Scott Linehan,0.306,0,0,,0,,0,11,3
1.5,5,2,136,34,Vince Lombardi,0.738,10,1,0.9,9,2,6,96,10
17.5,0,0,7,7,Leo Lyons,0.0,0,0,,0,0,0,0,2
4.0,0,0,64,34,John Mackovic,0.469,1,1,0.0,0,0,0,30,4
4.5,0,0,32,24,Dick MacPherson,0.25,0,0,,0,0,0,8,2
1.3,1,1,142,32,John Madden,0.759,16,7,0.563,9,1,7,103,10
10.0,0,0,8,6,Lou Mahrt,0.143,0,0,,0,0,1,1,1
2.5,0,1,85,41,Ray Malavasi,0.518,6,3,0.5,3,0,0,44,6
3.0,0,0,80,47,Eric Mangini,0.413,1,1,0.0,0,0,0,33,5
3.3,0,0,186,98,Ted Marchibroda,0.47,6,4,0.333,2,0,1,87,12
3.7,0,0,48,38,Rod Marinelli,0.208,0,0,,0,0,0,10,3
2.7,0,0,139,67,Steve Mariucci,0.518,7,4,0.429,3,0,0,72,9
3.0,,,32,17,Doug Marrone,0.469,0,0,,0,,0,15,2
12.5,0,0,15,8,Billy Marshall,0.273,0,0,,0,0,4,3,2
1.7,,1,85,32,Mike Martz,0.624,7,4,0.429,3,,0,53,6
4.0,0,0,5,2,Ned Mathews,0.5,0,0,,0,0,1,2,1
4.3,0,0,30,21,John Mazur,0.3,0,0,,0,0,0,9,3
2.0,1,1,47,17,Don McCafferty,0.62,5,1,0.8,4,1,2,28,4
1.6,1,1,160,55,Mike McCarthy,0.653,13,6,0.538,7,1,1,104,10
3.8,0,0,81,51,Mike McCormack,0.364,0,0,,0,0,1,29,6
3.0,,,48,26,Mike McCoy,0.458,2,1,0.5,1,,0,22,3
4.0,0,0,9,8,Pete McCulley,0.111,0,0,,0,0,0,1,1
3.0,0,0,28,17,Josh McDaniels,0.393,0,0,,0,0,0,11,2
2.5,0,0,21,11,Cap McEwan,0.45,0,0,,0,0,1,9,2
11.0,0,0,3,3,Alfred McGall,0.0,0,0,,0,0,0,0,1
4.3,0,0,57,40,Dave McGinnis,0.298,0,0,,0,0,0,17,4
16.0,0,0,2,2,Wally McIlwain,0.0,0,0,,0,0,0,0,1
3.6,0,0,133,88,John McKay,0.335,4,3,0.25,1,0,1,44,9
4.0,0,0,14,13,Ed McKeever,0.071,0,0,,0,0,0,1,1
6.0,0,0,14,12,Ray McLean,0.077,0,0,,0,0,1,1,2
4.5,0,0,38,24,Bo McMillin,0.368,0,0,,0,0,0,14,4
4.8,0,0,70,46,Bill McPeak,0.313,0,0,,0,0,3,21,5
5.0,,,37,23,John McVay,0.378,0,0,,0,,0,14,3
4.0,0,0,6,5,Jack Meagher,0.167,0,0,,0,0,0,1,1
13.0,0,0,9,5,Harry Mehre,0.286,0,0,,0,0,2,2,1
3.0,0,0,14,9,Ken Meyer,0.357,0,0,,0,0,0,5,1
2.8,0,0,104,50,Ron Meyer,0.519,2,2,0.0,0,0,0,54,9
3.3,0,0,87,47,Walt Michaels,0.454,4,2,0.5,2,0,1,39,6
3.0,0,0,48,26,John Michelosen,0.435,0,0,,0,0,2,20,4
2.0,0,1,62,22,Red Miller,0.645,5,3,0.4,2,0,0,40,4
5.0,0,0,10,8,Wayne Millner,0.2,0,0,,0,0,0,2,1
4.0,,,1,1,Dick Modzelewski,0.0,0,0,,0,,0,0,1
4.0,,,7,3,Gary Moeller,0.571,0,0,,0,,0,4,1
5.0,0,0,12,9,Keith Molesworth,0.25,0,0,,0,0,0,3,1
2.5,0,0,64,33,Jim Mora,0.484,2,1,0.5,1,0,0,31,4
2.9,0,0,231,106,Jim Mora,0.541,6,6,0.0,0,0,0,125,15
7.0,0,0,8,5,Charley Moran,0.286,0,0,,0,0,1,2,1
4.5,0,0,32,27,Marty Mornhinweg,0.156,0,0,,0,0,0,5,2
3.7,,,48,31,Raheem Morris,0.354,0,0,,0,,0,17,3
3.5,0,0,57,39,Mike Mularkey,0.316,0,0,,0,0,0,18,4
6.0,0,0,10,3,Brick Muller,0.667,0,0,,0,0,1,6,1
2.3,,,48,26,Mike Munchak,0.458,0,0,,0,,0,22,3
16.0,0,0,4,4,Johnny Murphy,0.0,0,0,,0,0,0,0,1
